iter	Passed	Remaining
422	2262	3086
423	2265	3077
424	2268	3068
425	2270	3059
426	2273	3050
427	2275	3041
428	2278	3032
429	2280	3023
430	2283	3014
431	2287	3008
432	2290	2999
433	2294	2992
434	2298	2985
435	2301	2976
436	2303	2967
437	2306	2959
438	2310	2952
439	2313	2944
440	2316	2935
441	2318	2927
442	2321	2918
443	2323	2910
444	2331	2907
445	2334	2899
446	2337	2891
447	2340	2883
448	2343	2875
449	2345	2866
450	2347	2858
451	2350	2849
452	2352	2840
453	2355	2833
454	2358	2825
455	2361	2817
456	2364	2809
457	2366	2800
458	2368	2791
459	2370	2782
460	2372	2773
461	2374	2764
462	2378	2758
463	2381	2750
464	2383	2742
465	2385	2733
466	2387	2724
467	2389	2716
468	2391	2707
469	2393	2698
470	2395	2690
471	2397	2681
472	2402	2676
473	2405	2669
474	2407	2661
475	2410	2653
476	2412	2645
477	2417	2639
478	2419	2631
479	2423	2625
480	2425	2617
481	2428	2609
482	2429	2601
483	2431	2592
484	2433	2584
485	2435	2576
486	2437	2567
487	2439	2559
488	2442	2551
489	2444	2543
490	2447	2536
491	2449	2529
492	2451	2521
493	2453	2513
494	2455	2505
495	2457	2497
496	2460	2489
497	2461	2481
498	2463	2473
499	2465	2465
500	2468	2459
501	2471	2451
502	2473	2443
503	2475	2435
504	2477	2427
505	2478	2420
506	2480	2412
507	2483	2404
508	2484	2396
509	2486	2389
510	2488	2381
511	2491	2374
512	2493	2367
513	2495	2359
514	2497	2351
515	2498	2343
516	2500	2336
517	2502	2328
518	2504	2320
519	2506	2313
520	2507	2305
521	2509	2297
522	2510	2290
523	2514	2283
524	2516	2276
525	2518	2269
526	2521	2262
527	2523	2255
528	2525	2248
529	2528	2242
530	2531	2235
531	2533	2228
532	2536	2222
533	2538	2215
534	2540	2208
535	2542	2200
536	2543	2193
537	2545	2186
538	2547	2178
539	2549	2171
540	2551	2164
541	2552	2157
542	2554	2150
543	2556	2142
544	2559	2136
545	2561	2129
546	2563	2123
547	2565	2115
548	2566	2108
549	2568	2101
550	2570	2094
551	2572	2087
552	2574	2081
553	2576	2074
554	2577	2066
555	2581	2061
556	2583	2054
557	2586	2048
558	2588	2042
559	2590	2035
560	2594	2030
561	2599	2025
562	2601	2019
563	2605	2014
564	2610	2009
565	2612	2003
566	2617	1998
567	2621	1994
568	2627	1990
569	2635	1988
570	2644	1987
571	2648	1982
572	2656	1979
573	2658	1973
574	2664	1969
575	2667	1963
576	2669	1957
577	2685	1960
578	2687	1954
579	2689	1947
580	2691	1941
581	2697	1937
582	2702	1932
583	2704	1926
584	2709	1921
585	2711	1915
586	2713	1909
587	2718	1904
588	2724	1901
589	2727	1895
590	2730	1889
591	2734	1884
592	2736	1878
593	2743	1874
594	2747	1870
595	2749	1864
596	2752	1857
597	2754	1851
598	2757	1845
599	2759	1839
600	2764	1835
601	2767	1829
602	2769	1823
603	2771	1817
604	2774	1811
605	2776	1804
606	2777	1798
607	2779	1791
608	2780	1785
609	2782	1778
610	2789	1776
611	2793	1770
612	2796	1765
613	2798	1759
614	2801	1753
615	2804	1747
616	2805	1741
617	2812	1738
618	2816	1733
619	2819	1728
620	2822	1722
621	2824	1716
622	2826	1710
623	2828	1704
624	2836	1701
625	2840	1697
626	2842	1691
627	2845	1685
628	2847	1679
629	2849	1673
630	2851	1667
631	2859	1664
632	2863	1659
633	2865	1654
634	2868	1648
635	2870	1642
636	2872	1636
637	2874	1630
638	2876	1624
639	2879	1619
640	2883	1614
641	2885	1609
642	2887	1603
643	2890	1598
644	2892	1592
645	2894	1586
646	2903	1583
647	2911	1581
648	2914	1576
649	2917	1570
650	2929	1570
651	2932	1565
652	2936	1560
653	2938	1554
654	2940	1548
655	2949	1546
656	2952	1541
657	2954	1535
658	2956	1529
659	2958	1524
660	2960	1518
661	2961	1512
662	2964	1506
663	2969	1502
664	2972	1497
665	2974	1491
666	2976	1486
667	2978	1480
668	2980	1474
669	2982	1468
670	2984	1463
671	2987	1458
672	2991	1453
673	2993	1448
674	2997	1443
675	2999	1437
676	3002	1432
677	3004	1426
678	3005	1420
679	3011	1416
680	3013	1411
681	3015	1406
682	3017	1400
683	3019	1395
684	3021	1389
685	3023	1384
686	3025	1378
687	3027	1373
688	3034	1369
689	3037	1364
690	3039	1359
691	3042	1354
692	3044	1348
693	3046	1343
694	3048	1337
695	3050	1332
696	3053	1327
697	3057	1322
698	3059	1317
699	3061	1312
700	3063	1306
701	3066	1301
702	3068	1296
703	3070	1290
704	3072	1285
705	3074	1280
706	3078	1275
707	3080	1270
708	3082	1265
709	3084	1259
710	3086	1254
711	3089	1249
712	3090	1244
713	3092	1238
714	3094	1233
715	3095	1227
716	3097	1222
717	3100	1217
718	3102	1212
719	3104	1207
720	3106	1201
721	3107	1196
722	3109	1191
723	3110	1185
724	3112	1180
725	3114	1175
726	3116	1170
727	3117	1164
728	3119	1159
729	3122	1154
730	3125	1149
731	3126	1144
732	3128	1139
733	3129	1134
734	3131	1129
735	3133	1123
736	3135	1118
737	3136	1113
738	3138	1108
739	3140	1103
740	3141	1098
741	3144	1093
742	3147	1088
743	3149	1083
744	3150	1078
745	3152	1073
746	3154	1068
747	3156	1063
748	3157	1058
749	3159	1053
750	3161	1048
751	3163	1043
752	3164	1038
753	3166	1033
754	3169	1028
755	3171	1023
756	3172	1018
757	3175	1013
758	3177	1008
759	3179	1004
760	3181	999
761	3182	994
762	3184	989
763	3185	984
764	3187	979
765	3189	974
766	3191	969
767	3193	964
768	3194	959
769	3196	954
770	3197	949
771	3200	945
772	3201	940
773	3203	935
774	3205	930
775	3206	925
776	3208	920
777	3210	916
778	3214	911
779	3216	907
780	3218	902
781	3224	898
782	3226	894
783	3228	889
784	3230	884
785	3232	880
786	3237	876
787	3239	871
788	3241	866
789	3246	862
790	3249	858
791	3252	854
792	3253	849
793	3255	844
794	3259	840
795	3262	835
796	3264	831
797	3265	826
798	3267	822
799	3270	817
800	3273	813
801	3276	808
802	3289	807
803	3292	802
804	3295	798
805	3299	794
806	3301	789
807	3306	785
808	3312	782
809	3316	777
810	3320	773
811	3322	769
812	3324	764
813	3331	761
814	3334	756
815	3339	753
816	3342	748
817	3343	743
818	3345	739
819	3352	735
820	3354	731
821	3358	727
822	3361	723
823	3365	718
824	3367	714
825	3373	710
826	3378	706
827	3381	702
828	3384	698
829	3387	693
830	3388	689
831	3390	684
832	3396	681
833	3399	676
834	3402	672
835	3404	667
836	3408	663
837	3410	659
838	3412	654
839	3413	650
840	3421	646
841	3423	642
842	3425	637
843	3427	633
844	3434	629
845	3435	625
846	3437	620
847	3443	617
848	3447	613
849	3450	608
850	3454	604
851	3456	600
852	3458	595
853	3464	592
854	3467	588
855	3471	583
856	3473	579
857	3475	575
858	3479	571
859	3481	566
860	3488	563
861	3492	559
862	3495	554
863	3500	551
864	3502	546
865	3504	542
866	3511	538
867	3514	534
868	3518	530
869	3523	526
870	3526	522
871	3528	517
872	3536	514
873	3541	510
874	3545	506
875	3548	502
876	3550	497
877	3552	493
878	3557	489
879	3559	485
880	3561	481
881	3565	477
882	3567	472
883	3569	468
884	3570	464
885	3572	459
886	3578	455
887	3580	451
888	3583	447
889	3585	443
890	3587	438
891	3589	434
892	3591	430
893	3593	426
894	3595	421
895	3602	418
896	3604	413
897	3605	409
898	3608	405
899	3611	401
900	3612	396
901	3614	392
902	3616	388
903	3626	385
904	3628	380
905	3631	376
906	3633	372
907	3635	368
908	3637	364
909	3638	359
910	3640	355
911	3643	351
912	3646	347
913	3648	343
914	3650	339
915	3651	334
916	3653	330
917	3655	326
918	3656	322
919	3658	318
920	3660	313
921	3662	309
922	3666	305
923	3668	301
924	3669	297
925	3671	293
926	3672	289
927	3674	285
928	3676	280
929	3677	276
930	3679	272
931	3681	268
932	3683	264
933	3686	260
934	3688	256
935	3689	252
936	3691	248
937	3693	244
938	3694	240
939	3696	235
940	3697	231
941	3700	227
942	3701	223
943	3703	219
944	3705	215
945	3708	211
946	3710	207
947	3712	203
948	3713	199
949	3715	195
950	3717	191
951	3718	187
952	3720	183
953	3722	179
954	3724	175
955	3725	171
956	3727	167
957	3729	163
958	3731	159
959	3734	155
960	3736	151
961	3738	147
962	3740	143
963	3742	139
964	3744	135
965	3745	131
966	3747	127
967	3748	123
968	3751	120
969	3753	116
970	3755	112
971	3757	108
972	3759	104
973	3760	100
974	3762	96
975	3764	92
976	3765	88
977	3767	84
978	3769	80
979	3770	76
980	3773	73
981	3775	69
982	3777	65
983	3779	61
984	3781	57
985	3782	53
986	3784	49
987	3786	45
988	3789	42
989	3791	38
990	3792	34
991	3794	30
992	3798	26
993	3800	22
994	3802	19
995	3803	15
996	3805	11
997	3806	7
998	3808	3
999	3810	0
